id|acronym|title|startDate|endDate|totalCost|legalBasis|topics|masterCall|subCall|fundingScheme|objective|grantDoi|cluster
101226563|M-CARE|Implementation of an Integrated Care Model for Patients with Multiple Cardiometabolic and Mental Health Conditions in Sub-Saharan Africa|2025-07-01|2030-06-30|4000000|HORIZON.2.1|HORIZON-HLTH-2024-DISEASE-13-01|HORIZON-HLTH-2024-DISEASE-13|HORIZON-HLTH-2024-DISEASE-13|HORIZON-RIA|Addressing multiple long-term conditions including non-communicable diseases (MLTC-NCDs) in fragile health systems in sub-Saharan African(SSA) demands a shift from fragmented models of care, that treat individual health issues separately to a more holistic integrated care  that provides a whole-person focus. However, the feasibility and effectiveness of concurrently implementing evidence-based WHO PEN and mhGAP-IG for integrated care of NCDs and common mental health problems in real primary healthcare settings remain unexplored. In addition, the adoption and implementation of the WHO PEN and mhGAP-IG strategy has been poor in the SSA, where recent analysis found the adoption and implementation to be off-track. M-CARE project therefore aims to improve primary care for patients (aged ≥18 years) with MLTC-cardiometabolic and common mental health conditions in three SSA countries (Ghana, Kenya & Uganda) by designing, deploying, and evaluating strategies for implementing the evidence-based integrated primary care model interventions that map onto WHO PEN and mhGAP-IG for PHC, taking into account diverse socioeconomic environments of these countries.The  intervention delivery will be a pragmatic trial implemented in usual primary care facilities by primary care providers through a parallel arm cluster randomized design. The trial is preceded by codesign of the integrated care with stakeholders.  This  multi-sectoral approach will increase  the capability, opportunity to improve integrated management of patients with MLTC-cardiometabolic disease and common mental health disorders in diverse SSA environments. We anticipate that the M-CARE project will lead to 35% increase in proportion of patients with MLTC-NCDs to be engaged and retained in care for effective management within 12 months. The M-CARE project will pave the way for translation and broad scale-up implementation of the evidence-based interventions to manage patients with MLTC-NCDs in SSA and beyond.||Cluster Health
101180091|COASTS|Coastal Observation Advances leveraging Space Technology Services|2024-11-01|2027-10-31|1971987,5|HORIZON.2.4|HORIZON-EUSPA-2023-SPACE-01-43|HORIZON-EUSPA-2023-SPACE|HORIZON-EUSPA-2023-SPACE|HORIZON-RIA|Coastal zones are critical regions, accommodating a significant proportion of the global population and hosting diverse ecosystems that provide essential services. Coastal “Blue carbon” ecosystems, such as mangroves, seagrasses, and salt marshes, play a crucial role in carbon sequestration and storage, biodiversity and coastal protection. Despite their socio-economic and biological importance, they face numerous threats from human activities and climate change, necessitating their conservation and management. Mapping, modelling and monitoring coastal zones using Earth Observation (EO) data is essential for this task. It needs to consider the complex coastal dynamics, past and future change scenarios, and the interaction between Blue Carbon and the coastal zone dynamics. By integrating EO data, advanced modelling techniques, and detailed process-based morphodynamic models, COASTS aims to develop a downstream service for coastal observation, with a focus on Blue Carbon. This service, utilizing Copernicus Marine and other initiatives, will provide govern. stakeholders and coastal planning with relevant information for developing coastal management strategies, including the assessment of blue carbon habitats and their environmental services. Further, COASTS will develop innovative methods and comprehensive analyses to create new business models related to emergent blue carbon markets and will offer new international income sources for countries with blue carbon ecosystem presence. COASTS will initially focus on pilot sites in Germany, Jersey Island and Chausey Archipelago, and the Maldives where govern. customers have a demand and support the project. The learnings from these examples will form a blueprint for broader application in other regions in response to a growing global need. Supported by an interdisciplinary team and strong links with governmental institutions, the COASTS project presents an innovative, scaleable and sustainable approach to coastal conservation and blue carbon management.|10.3030/101180091|Other
101138807|SiToLub|Simulation Tools for the design of safe and sustainable Lubricants|2024-01-01|2027-12-31|0|HORIZON.2.4|HORIZON-CL4-2023-RESILIENCE-01-23|HORIZON-CL4-2023-RESILIENCE-01|HORIZON-CL4-2023-RESILIENCE-01|HORIZON-RIA|SiToLub project aims to develop a digital tool/platform for the Safe and Sustainable by Design formulation of new lubricants. The tools developed will provide assessment of the safety (toxicity to humans, ecotoxicity to environment and workers risk) and, at the same time, sustainability guidance to design ecofluids (coolants, greases, oils)  in a clear and holistic way regarding the foreseeable physico-chemical properties and  tribological performance. The safety assessment will be realized by using molecular dynamic models developed by the partners.The tribological models will allow the prediction of the energy consumption during use by providing friction force values, and expected durability  of the materials by using wear data about the materials in contact with different fluids. they will also provide information about tthe degradation of the fluids in use and the chemical reactions occurring. The models will be flexible enough to predict the behaviour of the materials for different working parameters applied for different applications (wind turbines, electric cars and waterborne) This ambitious and forward-thinking system will leverage on a series of tools, ranging from technical evaluation and prediction models (computational models supported by artificial intelligence), combined with  established Life-Cycle Analysis (LCA) methodologies to consider the environmental, social and economic impact.The project will move in close collaboration with already funded European projects as i-Tribomat (H2020 G.A. 814494) for the creation of a OiTB for tribological materials, OntoCommons (H2020 G.A. 958371) for the standardisation of data documentation across all domains related to materials and manufacturing and IRISS (HORIZON EUROPE G.A. 101058245), the international ecosystem for accelerating the transition to Safe-and-Sustainable-by-design materials, products and processes.|10.3030/101138807|Cluster 4
101135082|IRE|Intelligent Robotic Endoscopes for Improved Healthcare Services|2024-03-01|2028-02-29|6189085|HORIZON.2.4|HORIZON-CL4-2023-DIGITAL-EMERGING-01-01|HORIZON-CL4-2023-DIGITAL-EMERGING-01|HORIZON-CL4-2023-DIGITAL-EMERGING-01|HORIZON-RIA|In Intelligent Robotic Endoscopes (IRE) for Improved Healthcare Services we envision creating intelligent robotics solutions, extending current endoscope technology with robotics control that is based on learning from currently collected human operator data, coupled with novel bio-mechanical modeling techniques, and sensory feedback as well as soft robotics phantom for training.The challenge with colonoscopy is that the success rate of detecting cancer depends on the skills of the clinician that operates the endoscope. From a health and societal perspective, the number of colonoscopies is bound to increase as they are the only way to screen patients for early cancer detection. Many European countries have national screening programs. This is a very big market in need of improved technology.IRE enables a new generation of intelligent robots that through data, simulation and learning can interact with the interior of a living human while communicating with a human operator. The huge variation of human anatomy and the dynamic effect of human physiology make it a complicated navigational task to use endoscopes. Entanglement, haemorrhage, and perforation risks create a critical and difficult environment to navigate autonomously in where even trained human operators meet challenges. We exploit one of the largest datasets on real-life colonoscopies with more than 2,000 operations to learn safe navigation, combined with simulated training on a population of biomechanical models of the abdominal region.IRE boosts the design and configuration of the robotic endoscope using digital twins and simulation, and careful inclusion of clinicians will speed up the process of integration. IRE will raise the level of autonomy by building upon simulation, imaging, and learning to yield an increased interpretation and understanding of the complex real- world environments, capable of anticipating the effect of human motions, adapting and replanning to avoid entanglement.|10.3030/101135082|Cluster 4
101136935|ENDEAVOR|Endoscopic brush cytology and single cell clinal dynamics of early easophageal adenocarcinoma for detecting cost effective surveillance strategies and prediction of cancer recurrence|2024-01-01|2028-12-31|6726488,69|HORIZON.2.1|HORIZON-MISS-2023-CANCER-01-03|HORIZON-MISS-2023-CANCER-01|HORIZON-MISS-2023-CANCER-01|HORIZON-RIA|In many European countries the recent rise in incidence of esophageal adenocarcinoma (EAC) is without precedent.  EAC is notorious for its highly aggressive biological behavior leading to invasive disease and early metastases. The only way to reduce mortality is through treatment in early stage of the cancer. EAC has a well recognized premalignant precursor lesion identified as esophageal metaplasia, or Barrett’s Esophagus (BE), which offers important opportunities for treatment in early stages of cancer which may reach 5 years survival rates up to 80%. However, these patients need to be monitored constantly for timely intervention in case of disease recurrence or metastases. The problem is that after endoscopic treatment up to 30% of cases will develop recurring cancers or even present with metastases, which requires additional endoscopic treatments or surgery. Currently it is impossible to predict which of the treated BE patients with  will have stable disease and which will recur or progress to invasive cancer. As a consequence all treated patients need to remain in frequent endoscopic surveillance. This leads to over-treatment of a large group of BE patients and under-treatment of those with more aggressive disease. There is a low cost effectiveness of endoscopic therapies, low quality of life of patients and poor satisfaction of care providers. An accurate risk stratification method for early AEC in BE patients is therefore an unmet clinical need. The ambition of the ENDEAVOR  consortium is to implement an innovative risk stratification method, which encompasses minimally invasive cell collection supplemented by single cell genomic analysis to address this specific need. Taking into account patient characteristics, gender dimensions, an optimal model model will be tested in a randomized controlled prospective trial. Future implementation of this method will reduce health care costs, increase quality of life and satisfaction of health care providers. This action is part of the Cancer Mission cluster of projects on Diagnostics and Treatment (diagnostics).|10.3030/101136935|Cluster MISS
101134977|ORION|Octo ReconfIgurable cONverter|2024-04-01|2028-03-31|0|HORIZON.2.4|HORIZON-CL4-2023-SPACE-01-72|HORIZON-CL4-2023-SPACE-01|HORIZON-CL4-2023-SPACE-01|HORIZON-RIA|The ORION project (OCTO RECONFIGURABLE CONVERTER) is a collaborative, technological project proposed in the frame of the Horizon Europe program in a call related to Space technologies for European non-dependence and competitiveness. Its main objective is to develop a new high-speed ADC (Analog to Digital Converter) that will be designed and optimized for active antennas and digital beamforming.  Its performances will be validated on a dedicated demonstration board and in a specific use case. The final component will reach TRL7 and will be space-qualified. It responds to the challenges of the digital beamforming application by providing an integrated 8 channels devices with very low power that is able to make direct conversion up to the X-band. It will generate new knowledge on the possibility to move from the X-band to the Ka-band. The new ADC will be highly suitable for a wide range of applications, from telecommunications to Earth Observation and GNSS, and will respond to the future needs of Europe’s flagship programs, such as the Green Deal. The project addresses the issue of the critical components supply chain, by fully assessing the gaps and potential vulnerabilities, and will propose recommendations at the European and industrial levels. The project also focuses on two key elements, which are the wafer foundry and the circuit’s packaging. The ORION project targets a 90% European supply chain, as the manufacturing, test and qualification are already on European, open-to-all, industrial facilities. The ORION project is led by Teledyne e2v, and fosters cooperation between scientific (Fraunhofer IIS and the Polytechnical University of Madrid), and industrial teams (INDRA and THALES ALENIA SPACE). The partners will implement several measures for exploitation of the results and dissemination to the European scientific, industrial and policy communities. It builds upon and is complementary to several other research and innovation activities.|10.3030/101134977|Cluster 4
101138516|MEDALS|Metallic Elements Dissipation Avoided by Life cycle design for Steel|2024-07-01|2028-06-30|5741716,25|HORIZON.2.4|HORIZON-CL4-2023-TWIN-TRANSITION-01-45|HORIZON-CL4-2023-TWIN-TRANSITION-01|HORIZON-CL4-2023-TWIN-TRANSITION-01|HORIZON-RIA|The proposed project aims to increase recycling ratio of steel and metals through improved sorting of scrap, better separation of non-wanted tramp elements as well as the valuable alloying elements. Steel can be recycled over and over again while retaining its technical properties. However, contaminations of tramp elements and losses of alloying elements do occur in the solid state and liquid state recovery processes currently employed in the industrial value chain. The project aims to enhance the integrated value chain of scrap based steel production through; investigate and develop scrap preparation methods, research new ways of sorting and separation of material, investigate and develop specific methods to remove copper and tin in the liquid phase and to recover copper form steelmaking residues through pyrometallurgical processes, create new steel products that can handle a higher copper content while maintaining required application properties, and finally lab-scale experiments to develop thermodynamic and kinetic modelling focusing on tramp elements. The target is to achieve 90% EOL recovery rates and a reduction of tramp elements by 60-70%, improved separation and sorting of scrap with a targeted increase in separation specificity of 50% and a target of copper element recovery from steelmaking residues about 60%.  Ultimately the developed models will, when relevant, be verified with data from full-scale tests in industrially relevant environments.The consortium includes 8 partners from 5 different EU-countries a scrap recycler (STEIL) / a steelmaker (SIDENOR) – and different R&D entities (KTH, KOBOLDE, TECNALIA, University of Limerick and Politecnico de Bari)  as well as a supplier (LSA) of sensors for scrap identification covering all the competences needed for the development of the MEDALS project|10.3030/101138516|Cluster 4
101178431|NANO-S-MART|Unlocking the effect of residual elements via the NANOengineering of Sustainable MARTensitic steels|2024-11-01|2028-10-31|3079420|HORIZON.2.4|HORIZON-CL4-2024-TWIN-TRANSITION-01-46|HORIZON-CL4-2024-TWIN-TRANSITION-01|HORIZON-CL4-2024-TWIN-TRANSITION-01|HORIZON-RIA|The European steel industry is at a critical juncture, squeezed between brutal market conditions and the commitment to mitigate climate change. The iron and steel industry is responsible for high greenhouse gas emissions, particularly carbon dioxide (CO2), constituting 5.7% of the total emissions in the EU (2.2 tonnes CO2 per tonne of crude steel cast, refer to World Steel data). Several European steel producers (including ArcelorMittal) have committed to fulfilling the goals outlined in the Paris Agreement and aligning with the European Union's target of achieving zero emissions by 2050, as part of the Green Deal initiative. These engagements entail a shift from the predominant method of steel production, currently reliant on blast furnace/basic oxygen furnace (BF/BOF) technology, to cleaner production techniques characterized by significantly lower CO2 emissions. As the industry shifts toward cleaner production methods, particularly those utilizing electric-arc furnaces (EAF) and emphasizing the recycling of iron scrap, concerns arise about the potential contamination of steel with residual elements like Cu, Sn, As, Sb, and P.The NANO-S-MART project emerges as a response to this pressing need, focusing on the systematic and in-depth analysis of the impact of residual elements in martensitic steels. Martensitic steels, vital across key sectors such as construction, automotive, energy, and defense, play a pivotal role in the EU's efforts to achieve climate neutrality and increase renewable energy usage. The project addresses macro, micro, and nano-scale considerations, encompassing the entire steel production process. NANO-S-MART project aims to provide clear guidelines for redesigning grades and validating technologies in relevant environments. By bridging knowledge gaps and embracing cutting-edge technologies, NANO-S-MART endeavors to revolutionize martensitic steel production, contributing to a sustainable and circular economy in the EU.|10.3030/101178431|Cluster 4
101155955|FluiDx-AD|A novel test trio to detect peptide biomarkers in saliva and blood for enhanced diagnosis and management of Alzheimer's Disease|2024-11-01|2028-04-30|0|HORIZON.2.1|HORIZON-HLTH-2024-DISEASE-03-13-two-stage|HORIZON-HLTH-2024-DISEASE-03-two-stage|HORIZON-HLTH-2024-DISEASE-03-two-stage|HORIZON-RIA|FluiDx-AD aims to transform Alzheimer’s disease (AD) diagnosis and prepare the EU healthcare systems for the emergence of new AD therapies, with a 1st-in-class trio of In Vitro Diagnostics tests.FluiDx-AD tests detect a unique and proprietary suite of biomarkers in simple bodily fluids (saliva, plasma/blood), towards widespread, patient-empowering, and all-inclusive AD diagnosis, at least as accurate as the costly and invasive procedures currently in place.FluiDx-AD tests have the potential to shorten AD diagnosis by 7-15 years, by detecting biomarkers that mark the onset of AD years before the appearance of clinical symptoms. Earlier diagnosis means earlier access to preventive interventions, which are now more effective thanks to next-generation immunotherapies. The clinical use of these new drugs is not consensual though, because of the severe side-effects they inflict in some patients. FluiDx-AD tests offer a pioneering tool to stratify and monitor patients eligible for these drugs, towards reducing their associated risk and accelerating their regulatory clearance in the EU.FluiDx-AD tests are thus devised to work complementarily and sequentially, covering the full AD diagnostic journey (from population-wide screenings to confirmatory diagnosis, and downstream patient stratification and monitoring), tackling key challenges of early AD diagnosis and AD prevention with new drugs, while also paving the way for the development of new therapies by streamlining patient selection and appraisal in clinical trials.FluiDx-AD brings together a team of highly motivated, committed, and reputed entrepreneurs, clinicians, and scientists from biotechs, hospitals, academic centres, and patient organizations across the EU. Leveraging our unique blend of trans-disciplinary/-sectoral expertise and access to advanced technologies and infrastructures, we join forces to realize the vision of a new era of AD clinical management for the benefit of millions of patients globally.|10.3030/101155955|Cluster Health
101130442|BioBIVE|BIOdegradable delivery systems for plant pathogens control of horticultural crops through BIo-actiVE agents|2024-06-01|2028-05-31|6851903|HORIZON.2.4|HORIZON-CL4-2023-RESILIENCE-01-34|HORIZON-CL4-2023-RESILIENCE-01-TWO-STAGE|HORIZON-CL4-2023-RESILIENCE-01-TWO-STAGE|HORIZON-RIA|The BioBIVE Consortium is a multidisciplinary 16 members group of universities, research centres and SMEs from 6 different European countries aimed to achieve, as main objective: “the development of bio-based platforms to allow the controlled release of bio-active agents able to control the plant pathogens of horticultural crops helping to decrease the use of chemical pesticides”.The general objective is based on three different bio-based release platforms (bio-plastic mulch, biochar and sprayable mulch) and three bio-active agents (basic substances, microorganisms and marine phenolic compounds),which will be the starting point to achieve the final best formulation. The functionality of these bio-based delivery systems that use substances from natural sources against crop pathogens instead of chemical pesticides must be evaluated in laboratory, greenhouse and environmental conditions, using diverse cropping systems (e.g., carrots, strawberries, tomatoes) and techniques, which are part of the BioBIVE Partners expertise.|10.3030/101130442|Cluster 4
